"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"j***j","京享值16909","star5","是正品，就是送的手机壳跟屏保很差劲 只要手机没问题就行 充电器耳机我是不会看的 差了序列号没问题激活日期就是我自己激活那一天","2017-11-14 10:44","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:17.1217057"
"喂***嘛","PLUS会员","star5","很好很好用是正品，没有网上说的闪屏烧屏绿屏啊！网上说那么多毛病华强北买的吧！","2017-11-12 04:07","3","2","[购买3天后追评]",,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:17.2357830"
"j***2","PLUS会员","star5","手机很好，一切正常，还省了不少钱?","2017-11-05 18:39","7","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:17.3538616"
"j***j","PLUS会员","star5","打开屏幕瞬间爆表 颜值非常高 做工OK 其它正在搜索中 刚开机有点烫 比7小 但是屏幕不比7小","2017-11-09 13:33","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:17.4719390"
"调***烈","京享值11259","star5","手机收到了，速度很快商家很不错","2017-11-05 16:06","7","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:17.6070296"
"f***4","PLUS会员","star5","颜值很高，手感也不错，比8p强多了。","2017-11-10 13:54","4","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:17.7341142"
"j***b","京享值17917","star5","中午收到货，玩了一下午了，用起来还不错，新的手势操作一会就适应了，查过货了，国航正品没毛病","2017-11-07 16:11","0","4",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:17.8652022"
"肉***子","PLUS会员","star5","从五号下午三点多下单，到八号晚上才到，心里忐忑啊，头一次不在官方网店买手机，怕怕的，东北速度也可以了，但由于自己期待的心情可能有些着急，客服也挺负责的，耐心回复，不过京东陆运真的不适合着急的人们呀，太慢啦哈哈。手机很好，原封包装，盒子有点挤压的痕迹，里面没坏，手机是国行已经查过，但激活日期提前一天，显示为7号，因该是苹果惯性设置。手机显色很好明显比7p鲜艳，人脸识别也很好用。速度也快。唯一不足就是软件不适配，希望快点出匹配的软件。好让我x发挥最真的实力。","2017-11-09 17:48","3","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:20.5249737"
"j***t","PLUS会员","star5","昨天一早买的，快递很及时，产品应该是正品。","2017-11-05 17:27","2","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:20.6350463"
"彼***q","PLUS会员","star5","买的时候还是有点担心，到货了之后才放心，感觉还不错！！！","2017-11-07 23:42","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:21.1123642"
"空***欢","PLUS会员","star5","前天下午下单，几天上午就收到了，手机不错，很精致","2017-11-06 13:32","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:21.2184349"
"思***6","PLUS会员","star5","3号在自营店抢购不到，4号偶然看到在佳沪数码有现货而且有优惠有赠品，国行，立马下单，三天 收到货，真机很漂亮，从用了几年的6P直接上IPX，希望一样耐用。","2017-11-08 19:23","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:21.3305089"
"纯***苗","京享值13058","star5","手机到了，挺好的，卖家服务也不错","2017-11-10 15:48","3","1","[购买3天后追评]",,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:21.4445861"
"艺***饰","PLUS会员","star5","不错，得心应手！正品行货！","2017-11-16 21:04","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:21.5866795"
"j***g","京享值16744","star5","看视频时候下面白条怎么弄没啊？字幕被遮住了很不爽?","2017-11-09 09:29","0","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:21.7147661"
"f***杰","PLUS会员","star5","就是快递慢点 其他都可以的","2017-11-18 15:17","0","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:21.8408501"
"哈***徐","京享值9131","star3","手机收到两天了一直没来的急评价，卖家发货快但是送的套跟手机膜真的不怎么样比较廉价。还有一点就是手机拍照录像的问题用了六年的苹果手机基本每年都会换新款苹果手机从来还没有遇到过这种情况下(请看图片)跟客服讲了情况客服说是系统问题。真不明白新手机怎么跟系统有关系，唉。先用段时间在看看吧但愿不是手机的问题吧，总体来说这次购物一般吧！","2017-11-09 14:11","6","4",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:21.9829447"
"三***妹","京享值27930","star5","买回来有几天了，刚开始用不是很习惯。系统很流畅，一直用苹果，希望会一直很好。","2017-11-11 20:56","1","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:24.2504543"
"A***e","PLUS会员","star5","盼了几天终于到了，打开马上试下人脸识别，很酷，运行速度很快???，拿着很有分量","2017-11-10 11:28","5","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:24.7127616"
"j***d","PLUS会员[试用]","star5","刚拿到货。上图。没收到发票。客服说后面补。用完后再评价","2017-11-07 17:01","1","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:24.8208348"
"等***V","PLUS会员","star5","刚收到机子，用几天在追加评论！","2017-11-05 14:35","9","4",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:24.9259048"
"w***3","PLUS会员","star5","很给力的一次购物，拍完当天发货！三天收到！我这激动的小心情，终于放心了，客服也很耐心的，一一给解答，我恐怕拍完，下午发不了货","2017-11-06 09:45","4","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:25.0329767"
"带***头","PLUS会员","star5","全面屏真的很爽，不足的地方就是刘海了，主动忽略，下一代去掉刘海就好了","2017-11-06 15:13","3","4",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:25.1430488"
"182*****169_p","PLUS会员","star5","可算到了，等的好辛苦","2017-11-11 17:29","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:25.2591261"
"M***哲","PLUS会员","star5","7号下单10号到的，进过几天忐忑的等待终于到手了机子还可以但是配件哪些不会看不知道换没换感觉换了的送的钢化膜和壳子真的不行","2017-11-10 19:09","1","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:25.4012207"
"艹***冒","京享值9816","star5","货收到了，物流收越快的，第三天早上就到货了，只是包装太过简单了点，不过是正品，还是值得信赖的，希望大家不必但心，其实我也是抱着担心的状态去买的，但还是虚惊了一场。","2017-11-15 13:02","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:25.5293067"
"他***淘","PLUS会员","star5","太棒了，第一次怀着忐忑的心买的，一万多第一次网购！作为京东粉，无疑为其点赞，性价比高，保真！买买买，再给老婆买个！","2017-11-08 22:49","2","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:25.6573913"
"下***办","京享值17484","star5","宝贝收到了，完美无缺啊，比7P可小了不少呢，绝对正品","2017-11-09 14:09","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:28.0639948"
"j***4","京享值10900","star5","非常的漂亮哦，很好看，就是没有home键用起来还不是很习惯 但是真的很漂亮，","2017-11-11 13:17","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:28.1720668"
"K***乐","PLUS会员","star5","这个刘海真的是。玩农药需要勇气的。还没适配","2017-11-15 22:19","0","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:28.2751355"
"AAMMGG","京享值23484","star5","非常好用，手感非常好，画质清晰流畅，iPhoneX超好用","2017-11-19 20:42","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:28.3792048"
"枫***羽","京享值23736","star5","是正版的，价格便宜，快递也很给力。暂时没有什么毛病。","2017-11-19 12:42","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:28.4842748"
"h***0","京享值37088","star5","都很满意就是赠品，太差了，瞬间掉价了！","2017-11-17 14:16","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:28.5973501"
"龙***则","京享值35561","star5","宝贝给力，双11的原因物流还可以","2017-11-20 11:20","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:28.7114260"
"l***9","京享值15531","star5","音效不错，就是取消程序麻烦一点","2017-11-20 23:27","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:28.8325061"
"j***m","京享值18655","star5","手机收到了，是国行的！跟我想象中一样，我是五号下午偶然发现这家店没有很贵，而且有现货，然后下单，七号中午收到的！大家普遍反应的一个问题就是快递直接丢在传达室这个问题是有的，手机很快很好用，不过用惯plus的宝宝们还是要有个心理准备，机身小了一个尺码，屏幕虽然比plus长，但是宽度没有，喜欢农药的宝宝也要注意，农药可能还没有兼容，现在显示在区域里是很小的！别的总体来说还是很满意的！","2017-11-07 17:17","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:28.9555887"
"网***8","PLUS会员","star5","不错，就是发货慢了点，没送无线充电器，别人家都送了","2017-11-07 09:34","1","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:29.4899452"
"一***航","京享值25110","star5","老婆生了个儿子！本来等了好久想买苹果八！但是想想！一个女孩从认识到结婚！最后把一生托付给我！又生了孩子！所以果断的买了10！本以为会给她惊喜！结果是肉疼！还好！感觉还不错！谢谢卖家及时的发货！一个礼物，代表着我这时常漂泊之人的一点心意！！！！","2017-11-19 12:59","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:31.7594548"
"D***t","PLUS会员","star5","发货快，国行，价格实惠，挺好用的，以后买手机还来，五星","2017-11-05 13:53","10","10",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:31.8665274"
"小***T","PLUS会员","star5","东西刚到手。刚激活完，在更新版本。用了很多年的iPhone  ，这手机分量很足，有点重，大小挺合适的。","2017-11-10 13:51","5","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:31.9705961"
"大***滴","PLUS会员","star5","全新未拆封。京东快递很给力，两天就到，开始还担心第三方会不会有问题，收到后非常满意也安心，看图。用了211卷外加满减15卷，立减五元，破发价格拿下，绝对不是拖。终于可以用上传说中的x","2017-11-09 17:30","3","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:32.0746648"
"t***d","PLUS会员","star5","机子很快收到了，是正品。本人带着十分好奇之心玩弄了好长一段时间，觉得其技术性能被夸大了，目前，该机子只是比较新颖而已。以后，追加评论吧。","2017-11-09 10:40","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:32.1837381"
"太***y","PLUS会员","star5","用了三四天真的很不错，虽然贵，总有优势嘛而且全屏看起来特别舒服，高大上","2017-11-15 19:30","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:32.2938120"
"萌***喻","京享值32689","star5","苹果x   无论外观还是性能都特别不错！达到我最佳的理想标准！不错！一贯支持苹果忠实用户","2017-11-06 21:21","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:32.4108887"
"小***熊","PLUS会员","star4","特意用了一天来评价，手机没问题，配件还没拆，没测试！有个疑问是不是应该随带发票的吗？","2017-11-10 10:27","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:32.5479807"
"jd_一件寒","京享值12931","star5","有点小激动","2017-11-18 10:12","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:32.6750653"
